Scenario,Strategy,Total Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,VaR 95,CVaR 95,Max Drawdown,Final Value,Average Turnover,Total Cost Rate,Average Cash
realistic_costs,RL Agent,0.9648734960310716,0.2330607130969298,2.278984193971677,3.0110829091069045,0.019413267623475897,0.03202042171046079,-0.17000386578907126,982436.748015536,0.012201444679221757,0.008248176603153908,0.019727824948418692
realistic_costs,S&P 500,0.2587236728095941,0.17516211584081512,1.0667269394911987,1.3901400646868438,0.015883690578205663,0.02461584906300597,-0.18902206184284,636739.0976961913,0.0,0.0,0.0
realistic_costs,CRP,0.525340101451063,0.16660203839410964,1.9734559671378415,3.10328976049608,0.01368072468607982,0.02026697351460148,-0.13094213746321637,762670.0507255312,0.011321017444363717,0.0076530077923898715,0.14521230413719177
realistic_costs,Equal Weight,0.6306512769685266,0.19436604417872064,1.9735389746145244,3.1035192278190538,0.015960832387516714,0.023643666784658197,-0.1516859356856243,815325.6384842632,0.013179051539123847,0.00890903884044772,0.0029498525073746312
realistic_costs,Buy & Hold EW,0.65097262069599,0.20014993831334268,1.9683762380157719,3.1506371353889104,0.016463179321515125,0.024144045710949778,-0.1491407423964342,825486.3103479975,0.002958579881656834,0.00200000000000002,0.0029498525073746312
realistic_costs,Inverse Vol,0.41661047920294036,0.18577886123863932,1.4907149578769614,2.326602464234042,0.015210741229798179,0.02301354228798911,-0.1577987235255643,708305.2396014698,0.11487722715201536,0.07765700555476238,0.0029498525073746312
realistic_costs,Min Variance,-0.010025191136456613,0.1887078502687736,0.05447568188006113,0.08246904912305847,0.01811436366724482,0.02539897777219602,-0.16475588496606433,494987.40443177166,0.45617019970801925,0.30837105500262096,0.0029498525073746312
realistic_costs,Mean-Variance,0.26482607636098754,0.2830644348955877,0.7590197339273236,1.2021401796646471,0.028306662924225984,0.03742354975443587,-0.137451166363672,632413.038180495,0.25933221905484155,0.17530858008107292,0.04557899405834939
realistic_costs,Momentum,0.4051862653985798,0.2237666161742346,1.2453703889804195,2.0411494154784737,0.01867581598008025,0.027812251429347637,-0.14588844313728702,702593.1326992906,0.41808157124665785,0.28262314216274065,0.02654867256637168
realistic_costs,Random Long-Only,-0.03980319854425929,0.20923671084723997,-0.04043695614529309,-0.06035658231895313,0.018431726464390025,0.028764922485377927,-0.22093515246663392,480098.40072787006,0.9105668437078107,0.6155431863464802,0.0029498525073746312
zero_costs,RL Agent,0.9811511748393924,0.23310152305132936,2.30506330540477,3.0470249457483902,0.019393542505085033,0.03199426599871049,-0.16921749179523365,990575.5874196972,0.012201444679221757,0.0,0.019727824948418692
zero_costs,S&P 500,0.2587236728095941,0.17516211584081512,1.0667269394911987,1.3901400646868438,0.015883690578205663,0.02461584906300597,-0.18902206184284,636739.0976961913,0.0,0.0,0.0
zero_costs,CRP,0.5370606928947352,0.16667555563649286,2.0069391040487985,3.15861666951662,0.013666136141809098,0.02024322998723658,-0.13050135974150925,768530.3464473682,0.011321017444363717,0.0,0.14521230413719177
zero_costs,Equal Weight,0.6452471707112033,0.19445481490924169,2.006939104048809,3.158616669516639,0.01594382549877718,0.023617101651775965,-0.15119431386297705,822623.5853556022,0.013179051539123847,0.0,0.0029498525073746312
zero_costs,Buy & Hold EW,0.6542811830621147,0.20024542316185162,1.9749973785278425,3.1627432346244415,0.01646317932151503,0.024144045710949785,-0.14914074239643416,827140.591531058,0.002958579881656834,0.0,0.0029498525073746312
zero_costs,Inverse Vol,0.5310277232650809,0.18554661687775678,1.804787471983403,2.819023235974706,0.015066499083125578,0.022781828833795995,-0.15113585514359715,765513.8616325421,0.11487722715201536,0.0,0.0029498525073746312
zero_costs,Min Variance,0.347883544660625,0.18971362617391752,1.2684843372981074,1.91181652491012,0.017500473440151786,0.02473960395897819,-0.15222340036064574,673941.7723303121,0.45617019970801925,0.0,0.0029498525073746312
zero_costs,Mean-Variance,0.7449034322181585,0.2861969798418648,1.592758878473011,2.6605213020139837,0.026099347550628777,0.03580538396495334,-0.12937245552231466,872451.7161090801,0.6492012296605886,0.0,0.02844118478256143
zero_costs,Momentum,0.8644931232302517,0.22469733028270664,2.1807821324300147,3.5800851639410065,0.01778842774998509,0.02709404853275374,-0.11382306224513926,932246.561615125,0.41808157124665785,0.0,0.02654867256637168
zero_costs,Random Long-Only,0.7780979621906274,0.20985589830999082,2.150895696577535,3.2142976298880317,0.01618394616123021,0.02705392339006524,-0.16710325561000353,889048.9810953143,0.9105668437078107,0.0,0.0029498525073746312
