matrix,ablation,best_val_step,best_val_selection_score,best_val_total_return,best_val_sharpe_ratio,arb_activation_episode,final_arb_mix,test_return,test_sharpe,test_max_drawdown,return_gap_vs_equal_weight,sharpe_gap_vs_equal_weight
conservative_matrix,champion_base,10,0.7900630147448678,0.3564576749037529,2.218630563456492,,0.0,0.9648734960310716,2.278984193971677,-0.1700038657890712,0.334222219062545,0.3054452193571524
conservative_matrix,champion_arb,70,0.1211525141237443,0.2439433702052156,1.608451530910294,,0.0,0.7674442230680782,2.087492331288084,-0.1725343734285468,0.1367929460995516,0.1139533566735597
conservative_matrix,champion_sparse,120,0.5930221227425099,0.3562186100162496,2.022640574798046,,0.0,0.2730708756226512,1.051178332587683,-0.1621965779964641,-0.3575804013458754,-0.9223606420268416
conservative_matrix,champion_arb_sparse,20,0.5413603721862261,0.5356523339513588,1.8837218456689857,,0.0,0.3130281336954383,1.6489888922069704,-0.1198623984316014,-0.3176231432730883,-0.324550082407554
relaxed_arb_activation_test,champion_arb,40,0.5075588717049359,0.5028651045328418,1.865997419649861,21.0,0.1966666666666666,0.7263315998837507,1.5191034169656634,-0.292048731655,0.0956803229152241,-0.454435557648861
relaxed_arb_activation_test,champion_arb_sparse,20,0.5413603721862261,0.5356523339513588,1.8837218456689857,20.0,0.2,0.6581516835816981,1.4149215257697982,-0.2956863548983345,0.0275004066131714,-0.5586174488447262
