name,total_return,sharpe,max_drawdown,final_value,average_turnover,average_cash
RL Champion,0.9648734960310716,2.278984193971677,-0.1700038657890712,982436.748015536,0.0122014446792217,0.0197278249484186
RL + ARB activated,0.7263315998837507,1.5191034169656634,-0.292048731655,863165.7999418734,0.0084547032951796,0.0119076823602521
RL + ER sparse network,0.2730708756226512,1.051178332587683,-0.1621965779964641,636535.437811325,0.0181643047248847,0.0090319997244222
RL + ARB activated + ER sparse network,0.6581516835816981,1.4149215257697982,-0.2956863548983345,829075.8417908476,0.0147410682294741,0.016104473665466
S&P 500,0.2587236728095941,1.066726939491199,-0.18902206184284,636739.0976961913,0.0,0.0
CRP,0.525340101451063,1.9734559671378415,-0.1309421374632163,762670.0507255312,0.0113210174443637,0.1452123041371917
Equal Weight,0.6306512769685266,1.9735389746145244,-0.1516859356856243,815325.6384842632,0.0131790515391238,0.0029498525073746
Buy & Hold EW,0.65097262069599,1.968376238015772,-0.1491407423964342,825486.3103479975,0.0029585798816568,0.0029498525073746
